filename	onset	offset	event_label
Y0UN02RkbG_U_7.000_17.000.wav	0.000000	10.000000	Cat
Y-6-rh8kbZf0_40.000_50.000.wav	8.232558	8.511628	Speech
Y-6-rh8kbZf0_40.000_50.000.wav	8.976744	9.581395	Electric_shaver_toothbrush
Y-6-rh8kbZf0_40.000_50.000.wav	0.000000	0.093023	Blender
Y-6-rh8kbZf0_40.000_50.000.wav	7.534884	7.860465	Blender
Y6ocUrRBIuls_340.000_350.000.wav	0.325581	1.348837	Speech
Y6ocUrRBIuls_340.000_350.000.wav	3.395349	3.767442	Speech
Y6ocUrRBIuls_340.000_350.000.wav	5.116279	5.860465	Speech
Y6ocUrRBIuls_340.000_350.000.wav	7.534884	8.093023	Vacuum_cleaner
Y6ocUrRBIuls_340.000_350.000.wav	0.000000	8.837209	Blender
Y7wPIQMsalK8_70.000_80.000.wav	0.000000	10.000000	Running_water
Y-dDpGRPHzM0_30.000_40.000.wav	0.604651	2.558140	Speech
Y-dDpGRPHzM0_30.000_40.000.wav	4.000000	5.023256	Speech
Y-dDpGRPHzM0_30.000_40.000.wav	8.232558	9.953488	Speech
Y-dDpGRPHzM0_30.000_40.000.wav	5.767442	7.441860	Dog
Y97oxHi3qxs8_0.000_10.000.wav	0.046512	4.325581	Running_water
Y57wLY6lcZus_80.000_90.000.wav	0.000000	3.813953	Alarm_bell_ringing
Y57wLY6lcZus_80.000_90.000.wav	3.627907	4.558140	Dishes
YnsxAMfzY_Wo_160.000_170.000.wav	4.232558	7.488372	Alarm_bell_ringing
YnsxAMfzY_Wo_160.000_170.000.wav	0.000000	2.697674	Speech
Yi7VpXVrrTPs_30.000_40.000.wav	0.046512	1.906977	Alarm_bell_ringing
Yi7VpXVrrTPs_30.000_40.000.wav	2.279070	4.744186	Alarm_bell_ringing
Y7HSpbwWrii0_10.000_20.000.wav	7.302326	9.860465	Alarm_bell_ringing
Y7HSpbwWrii0_10.000_20.000.wav	0.000000	3.255814	Cat
Y0XMeGiszPYE_30.000_40.000.wav	0.000000	10.000000	Cat
Y0xciMnHCZL0_30.000_40.000.wav	0.000000	10.000000	Frying
Y0xciMnHCZL0_30.000_40.000.wav	3.860465	4.186047	Running_water
Y0xciMnHCZL0_30.000_40.000.wav	4.418605	5.534884	Running_water
Y0xciMnHCZL0_30.000_40.000.wav	5.813953	6.093023	Running_water
Y4dujzoc7MHE_170.000_180.000.wav	0.000000	5.023256	Alarm_bell_ringing
Y4dujzoc7MHE_170.000_180.000.wav	6.976744	8.232558	Alarm_bell_ringing
Y4dujzoc7MHE_170.000_180.000.wav	9.116279	9.906977	Alarm_bell_ringing
Y9RgAP7X9d6w_10.000_20.000.wav	0.000000	10.000000	Frying
Y9RgAP7X9d6w_10.000_20.000.wav	0.000000	0.046512	Running_water
